text,label
Efetue cálculos de geometria e probabilidade conforme o enunciado e escreva comentários sobre o método empregado Efetue cálculos de geometria e probabilidade conforme o enunciado e escreva comentários sobre o método empregado Explique com clareza. Efetue cálculos de geometria e probabilidade conforme o enunciado e escreva comentários sobre o método empregado Efetue cálculos de geometria e probabilidade conforme o enunciado e escreva comentários sobre o método empregado Considere exemplos práticos. Explique com clareza. Efetue cálculos de geometria e probabilidade conforme o enunciado e escreva comentários sobre o método empregado Efetue cálculos de geometria e probabilidade conforme o enunciado e escreva comentários sobre o método empregado Considere exemplos práticos.,escolar_matematica
"Produza uma crítica conectando à história da arte Considere exemplos práticos. Observe a obra apresentada e analise composição, cor e técnica Considere exemplos práticos. Observe a obra apresentada e analise composição, cor e técnica Produza uma crítica conectando à história da arte Observe a obra apresentada e analise composição, cor e técnica Considere exemplos práticos. Produza uma crítica conectando à história da arte Considere exemplos práticos. Explique com clareza. Observe a obra apresentada e analise composição, cor e técnica Considere exemplos práticos.",escolar_arte
"Produza uma crítica conectando à história da arte Considere exemplos práticos. Observe a obra apresentada e analise composição, cor e técnica Produza uma crítica conectando à história da arte Explique com clareza. Produza uma crítica conectando à história da arte Produza uma crítica conectando à história da arte",escolar_arte
Discuta processos de urbanização e impactos socioambientais com exemplos locais Discuta processos de urbanização e impactos socioambientais com exemplos locais Discuta processos de urbanização e impactos socioambientais com exemplos locais Explique com clareza. Discuta processos de urbanização e impactos socioambientais com exemplos locais,escolar_geografia
Analise processos de oxirredução e explique os papéis de agentes químicos envolvidos Explique com clareza. Analise processos de oxirredução e explique os papéis de agentes químicos envolvidos Explique com clareza. Analise processos de oxirredução e explique os papéis de agentes químicos envolvidos Analise processos de oxirredução e explique os papéis de agentes químicos envolvidos,escolar_quimica
Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor Explique com clareza. Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor Relacione com o sentido geral do poema Considere exemplos práticos. Relacione com o sentido geral do poema Relacione com o sentido geral do poema Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor,escolar_portugues
Faça um resumo do texto em até três parágrafos e responda questões sobre sinonímia e coesão Faça um resumo do texto em até três parágrafos e responda questões sobre sinonímia e coesão Considere exemplos práticos. Faça um resumo do texto em até três parágrafos e responda questões sobre sinonímia e coesão Faça um resumo do texto em até três parágrafos e responda questões sobre sinonímia e coesão Faça um resumo do texto em até três parágrafos e responda questões sobre sinonímia e coesão Faça um resumo do texto em até três parágrafos e responda questões sobre sinonímia e coesão Considere exemplos práticos.,escolar_portugues
Relacione com o sentido geral do poema Relacione com o sentido geral do poema Relacione com o sentido geral do poema Considere exemplos práticos. Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor Relacione com o sentido geral do poema Relacione com o sentido geral do poema Considere exemplos práticos. Relacione com o sentido geral do poema,escolar_portugues
"Observe a obra apresentada e analise composição, cor e técnica Explique com clareza. Observe a obra apresentada e analise composição, cor e técnica Observe a obra apresentada e analise composição, cor e técnica Observe a obra apresentada e analise composição, cor e técnica Considere exemplos práticos.",escolar_arte
"Analise os sistemas e funções apresentados, apresentando soluções detalhadas e conclusão sobre aplicação prática Considere exemplos práticos. Analise os sistemas e funções apresentados, apresentando soluções detalhadas e conclusão sobre aplicação prática Analise os sistemas e funções apresentados, apresentando soluções detalhadas e conclusão sobre aplicação prática Analise os sistemas e funções apresentados, apresentando soluções detalhadas e conclusão sobre aplicação prática Analise os sistemas e funções apresentados, apresentando soluções detalhadas e conclusão sobre aplicação prática",escolar_matematica
Relacione com o sentido geral do poema Considere exemplos práticos. Explique com clareza. Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor Considere exemplos práticos. Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor Considere exemplos práticos. Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor Interprete o poema apresentado e explique os recursos estilísticos utilizados pelo autor,escolar_portugues
"Observe a obra apresentada e analise composição, cor e técnica Observe a obra apresentada e analise composição, cor e técnica Considere exemplos práticos. Observe a obra apresentada e analise composição, cor e técnica Produza uma crítica conectando à história da arte Considere exemplos práticos. Observe a obra apresentada e analise composição, cor e técnica Produza uma crítica conectando à história da arte",escolar_arte
"Analise o mapa e identifique padrões geográficos e climáticos, comentando impactos humanos Analise o mapa e identifique padrões geográficos e climáticos, comentando impactos humanos Analise o mapa e identifique padrões geográficos e climáticos, comentando impactos humanos Analise o mapa e identifique padrões geográficos e climáticos, comentando impactos humanos Explique com clareza.",escolar_geografia
Analise um caso de estudo sobre instituições sociais e proponha soluções fundamentadas Considere exemplos práticos. Analise um caso de estudo sobre instituições sociais e proponha soluções fundamentadas Analise um caso de estudo sobre instituições sociais e proponha soluções fundamentadas Considere exemplos práticos. Analise um caso de estudo sobre instituições sociais e proponha soluções fundamentadas Analise um caso de estudo sobre instituições sociais e proponha soluções fundamentadas Analise um caso de estudo sobre instituições sociais e proponha soluções fundamentadas Analise um caso de estudo sobre instituições sociais e proponha soluções fundamentadas Considere exemplos práticos.,escolar_sociologia
